,Term,ES,NES,NOM p-value,FDR p-value,Set size,Tag %,Rank %,Leading edge
206,Pyrimidine metabolism Homo sapiens hsa00240,-0.38992256,-1.3559436,0.06559767,0.9904761697564806,84,0.23809524,0.15208504,POLR3B;POLE2;CTPS1;POLE3;POLR2E;POLA2;DPYD;UPP2;TXNRD3;CAD;UCK2;DTYMK;PRIM2;POLD1;POLR3E;TYMS;POLE;UPP1;ENTPD6;POLR3F
232,Small cell lung cancer Homo sapiens hsa05222,-0.38724703,-1.3318603,0.07536232,0.9904761697564806,72,0.3472222,0.23028322,CDK2;RXRG;ITGA6;LAMC1;RELA;CCND1;CDKN1B;AKT1;LAMB3;E2F1;TRAF6;LAMB1;CCNE1;PIK3CD;MYC;CCNE2;BCL2;COL4A1;CASP9;ITGA3;PIK3CB;CDK6;TRAF5;PIK3R3;AKT3
249,Thyroid hormone synthesis Homo sapiens hsa04918,-0.23738499,-0.76216054,0.875,1.0,51,0.23529412,0.20359771,ATP1B1;ATP1A1;ADCY3;GPX8;ADCY7;LRP2;ATP1B2;ITPR2;CREB5;GSR;CREB3L4;CREB3L3
250,Tight junction Homo sapiens hsa04530,0.2365997,0.95821,0.51291513,1.0,103,0.23300971,0.18204118,CRB3;EPB41;PPP2R2B;CLDN3;CLDN6;PARD6A;CLDN9;CASK;AKT2;MYL2;OCLN;SHROOM4;KRAS;GNAI1;ACTG1;CLDN23;PPP2CB;PPP2CA;MYH10;MYL9;ACTN2;MYL12A;CTNNB1;MYH14
251,Toll-like receptor signaling pathway Homo sapiens hsa04620,0.2265467,0.8568823,0.74850297,1.0,63,0.25396827,0.17877053,NFKBIA;MAPK12;TLR2;AKT2;IFNAR1;CXCL10;PIK3R5;TOLLIP;CCL5;TIRAP;RIPK1;STAT1;MYD88;TAB2;CD80;IKBKE
252,Toxoplasmosis Homo sapiens hsa05145,-0.2248647,-0.78954124,0.8696884,1.0,86,0.19767442,0.18739314,IFNGR1;ITGA6;LAMC1;RELA;STAT3;TLR4;TYK2;LAMB3;TRAF6;LAMB1;CASP8;PIK3CD;BCL2;CASP9;LDLR;IRGM;AKT3
253,Transcriptional misregulation in cancer Homo sapiens hsa05202,-0.27846324,-1.0277586,0.38026315,1.0,123,0.2601626,0.2010704,ETV1;RXRG;PTCRA;RELA;TAF15;ID2;MEN1;NUPR1;JUP;SUPT3H;AFF1;WNT16;CDKN1B;PLAT;LMO2;REL;ETV6;ZBTB16;UTY;CDK14;WT1;TGFBR2;SIX4;MYC;ITGB7;PAX3;PAX7;BMP2K;PBX1;RUNX1T1;RUNX2;IGF1R
254,Tryptophan metabolism Homo sapiens hsa00380,0.23060095,0.7371701,0.86096257,1.0,31,0.16129032,0.12346689,OGDH;TPH2;IDO2;ALDH1B1;ASMT
255,Tuberculosis Homo sapiens hsa05152,-0.24769743,-0.90531135,0.65405405,1.0,111,0.35135135,0.27971455,NFYB;IFNGR1;CR1;BCL10;FCGR2C;TGFB1;MRC1;RELA;CEBPB;HSPA9;HSPD1;CTSS;APAF1;TLR4;MRC2;AKT1;TRAF6;IL10;RAB5C;CASP8;CEBPG;ATP6V0C;CORO1A;RFX5;CREB1;CALM2;ATP6V0B;IRAK2;IL18;BCL2;RAB5A;CASP9;ATP6V0A4;BID;RAB5B;CREBBP;BAX;FCER1G;AKT3
256,Type I diabetes mellitus Homo sapiens hsa04940,0.46413106,1.2437295,0.17948718,1.0,15,0.26666668,0.12272356,IL1A;FAS;CD80;HLA-DMA
