,Term,ES,NES,NOM p-value,FDR p-value,Set size,Tag %,Rank %,Leading edge
187,Phosphatidylinositol signaling system Homo sapiens hsa04070,0.30804488,1.0671912,0.33,0.9749474069651436,75,0.25333333,0.2057465,PIP5K1B;DGKI;DGKQ;PRKCB;DGKD;PIKFYVE;ITPKA;ITPK1;CALM1;PLCG2;ITPR3;PIP5K1C;INPP4B;DGKH;PIK3R1;DGKG;PIK3R5;PI4KB;IMPA2
188,Phospholipase D signaling pathway Homo sapiens hsa04072,0.32329798,1.1997174,0.13969335,0.9749474069651436,111,0.26126125,0.15892899,PIP5K1B;DGKI;DGKQ;PLA2G4A;DGKD;GAB2;PDGFB;PDGFD;MAPK1;AGPAT1;AKT2;PLCG2;GAB1;PTPN11;PIP5K1C;MRAS;CYTH4;DNM3;AKT3;ARF1;KIT;ADCY1;RALA;TSC2;PIK3R1;DGKG;GNAS;PIK3R5;SOS2
189,Phototransduction Homo sapiens hsa04744,0.40165442,0.99469346,0.46395564,0.9749474069651436,15,0.2,0.14569795,CALM1;CNGA1;SLC24A1
191,Porphyrin and chlorophyll metabolism Homo sapiens hsa00860,0.35124415,0.9050644,0.58983666,0.9749474069651436,19,0.2631579,0.13473734,UROS;ALAS2;CP;ALAS1;ALAD
192,Primary bile acid biosynthesis Homo sapiens hsa00120,-0.6837176,-1.6509526,0.023554605,0.9749474069651436,12,0.083333336,0.00023487043,HSD17B4
193,Primary immunodeficiency Homo sapiens hsa05340,0.46124813,1.2336196,0.20262665,0.9749474069651436,20,0.1,0.020355437,DCLRE1C;CD79A
194,Prion diseases Homo sapiens hsa05020,0.42496166,1.1313614,0.3119266,0.9749474069651436,21,0.23809524,0.16848038,NOTCH1;MAPK1;C7;CCL5;EGR1
195,Progesterone-mediated oocyte maturation Homo sapiens hsa04914,-0.24753463,-0.8855026,0.6759259,0.9749474069651436,68,0.32352942,0.24755344,PIK3R2;CDC16;GNAI2;CDK2;ANAPC7;RPS6KA1;PLK1;PKMYT1;AKT1;ADCY9;MAD2L2;ADCY7;BRAF;RPS6KA6;PIK3R3;MAD2L1;CPEB4;CCNB2;CPEB3;PIK3CB;MAPK10;CPEB1
196,Prolactin signaling pathway Homo sapiens hsa04917,-0.26677933,-0.93546766,0.5752688,0.9749474069651436,57,0.28070176,0.17646599,PIK3R2;SOS1;RELA;SHC3;AKT1;CISH;TNFSF11;FOS;PIK3R3;CGA;PIK3CB;NRAS;GALT;PRLR;MAPK10;CCND2
198,Prostate cancer Homo sapiens hsa05215,0.26559258,0.91048884,0.6318493,0.9749474069651436,79,0.2278481,0.16096453,CHUK;LEF1;PDGFB;PDGFD;MAPK1;ARAF;CDKN1A;AKT2;CREBBP;E2F3;AKT3;NKX3-1;ERBB2;GSTP1;PIK3R1;PIK3R5;FGFR1;SOS2
