,Term,ES,NES,NOM p-value,FDR p-value,Set size,Tag %,Rank %,Leading edge
107,Graft-versus-host disease Homo sapiens hsa05332,-0.44859317,-0.9098074,0.60073936,1.0,8,0.5,0.20767461,HLA-DMB;CD80;FAS;HLA-DQB1
108,HIF-1 signaling pathway Homo sapiens hsa04066,-0.29483098,-0.9798546,0.48333332,1.0,80,0.175,0.13738589,AKT3;PIK3R5;AKT2;ERBB2;PFKFB3;PLCG1;IFNGR1;MAP2K2;EGLN2;TLR4;SERPINE1;EPO;CUL2;ALDOA
109,HTLV-I infection Homo sapiens hsa05166,-0.26804116,-1.0041026,0.45,1.0,206,0.24757281,0.24537964,ANAPC11;CDC23;E2F3;CRTC3;AKT3;PIK3R5;CHEK2;KRAS;CD40;PPP3CA;HLA-DMB;EGR1;AKT2;ATF1;POLB;KAT2B;POLE3;APC2;NFATC1;MAP3K1;PCNA;FZD6;ADCY8;ZFP36;ADCY3;MYC;SLC25A5;CREB1;FZD10;MAP3K3;TRRAP;IL2RB;CCND3;ADCY9;EP300;JAK3;WNT2B;CDKN2B;FZD9;IKBKB;HLA-DQB1;ANAPC2;MYBL1;ADCY1;MAD2L1;RELB;NFKBIA;BUB3;WNT7B;STAT5B;CALR
110,Hedgehog signaling pathway Homo sapiens hsa04340,-0.45033085,-1.3271574,0.10440457,1.0,40,0.225,0.15067172,RAB23;PTCH2;CSNK1A1;GLI2;WNT2B;LRP2;BMP2;CSNK1G3;WNT7B
111,Hematopoietic cell lineage Homo sapiens hsa04640,-0.25803936,-0.76548874,0.8291874,1.0,42,0.04761905,0.008016032,EPOR;EPO
96,Glycerolipid metabolism Homo sapiens hsa00561,-0.25166968,-0.7382692,0.86970687,1.0,40,0.125,0.124471165,GK;MOGAT2;DGKB;DGKI;DGKQ
97,Glycerophospholipid metabolism Homo sapiens hsa00564,-0.22843605,-0.74371785,0.9104704,1.0,72,0.097222224,0.115787126,LPCAT3;LPCAT2;PLA2G15;DGKB;PEMT;DGKI;DGKQ
98,"Glycine, serine and threonine metabolism Homo sapiens hsa00260",0.23976126,0.7038576,0.9158416,1.0,29,0.27586207,0.14362058,PSPH;CTH;MAOA;DMGDH;CBS;AOC2;GNMT;CHDH
99,Glycolysis / Gluconeogenesis Homo sapiens hsa00010,0.40068337,1.3597437,0.054830287,1.0,48,0.27083334,0.1413939,ENO2;ALDH9A1;PGM2;MINPP1;AKR1A1;ACSS1;PDHA1;PKM;LDHAL6B;DLAT;PFKP;TPI1;HK2
100,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate Homo sapiens hsa00532,0.26453754,0.6901989,0.9031532,1.0,18,0.22222222,0.09812217,CHPF2;CHST15;DSE;CHPF
101,Glycosaminoglycan biosynthesis - heparan sulfate / heparin Homo sapiens hsa00534,0.24287522,0.6633617,0.92086333,1.0,23,0.08695652,0.039931715,HS3ST5;GLCE
102,Glycosaminoglycan degradation Homo sapiens hsa00531,-0.4146843,-0.960297,0.51557094,1.0,14,0.42857143,0.23476583,GUSB;SGSH;HYAL1;IDS;HYAL3;HEXB
103,Glycosphingolipid biosynthesis - lacto and neolacto series Homo sapiens hsa00601,-0.30591273,-0.7514216,0.8074957,1.0,17,0.11764706,0.03035701,ABO;B4GALT4
