,Term,ES,NES,NOM p-value,FDR p-value,Set size,Tag %,Rank %,Leading edge
153,Natural killer cell mediated cytotoxicity Homo sapiens hsa04650,0.27185127,0.9461721,0.54770994,0.9967153945577488,50,0.28,0.16135545,SOS2;RAC1;TNFRSF10D;PTPN11;PRKCB;MAP2K2;PLCG2;SH3BP2;KRAS;CD247;PAK1;IFNAR1;FAS;PIK3R1
154,Neuroactive ligand-receptor interaction Homo sapiens hsa04080,0.25476566,1.0370873,0.38142294,0.9967153945577488,118,0.33050847,0.2667896,OPRD1;GPR156;GABRA3;P2RY6;CHRM3;SCTR;HTR7;CNR1;GABRG2;P2RY13;HTR4;GRIN1;DRD4;GLP1R;GCGR;CALCR;MAS1;DRD3;BDKRB1;ADRA1A;ADORA1;KISS1R;GABRG1;LPAR3;LTB4R2;GRM7;EDNRA;GABRB1;VIPR2;THRB;GRIK4;PRL;GRM4;GABRA2;NMUR1;S1PR3;PTH2R;S1PR1;PARD3
155,Neurotrophin signaling pathway Homo sapiens hsa04722,0.22829255,0.896497,0.68244576,0.9967153945577488,91,0.24175824,0.19383724,SOS2;GSK3B;RAC1;TRAF6;CDC42;IKBKB;PTPN11;MAPK12;MAP2K2;PLCG2;KRAS;SH2B3;NTF4;BRAF;TP73;AKT2;GAB1;NFKBIE;NGF;AKT3;PIK3R1;MAPK13
157,Nicotine addiction Homo sapiens hsa05033,0.23452851,0.73301923,0.861167,0.9967153945577488,28,0.21428572,0.16548152,GABRA3;SLC32A1;GRIN1;GABRG1;GABRB1;GABRA2
159,Non-alcoholic fatty liver disease (NAFLD) Homo sapiens hsa04932,-0.29131588,-1.1523905,0.17829457,0.9967153945577488,111,0.2072072,0.103502765,BCL2L11;RELA;COX7B;MAPK8;PIK3R2;MAPK10;COX6A1;XBP1;UQCR10;PRKAA2;PRKAB1;NDUFC1;IL1A;CEBPA;PIK3CB;NDUFB1;NDUFV2;COX6B2;EIF2AK3;PIK3R3;PKLR;UQCRC2;ERN1
160,Non-small cell lung cancer Homo sapiens hsa05223,0.29523426,0.9941942,0.45961538,0.9967153945577488,44,0.4090909,0.23615135,SOS2;CASP9;E2F2;PRKCB;RXRG;MAP2K2;PLCG2;KRAS;BRAF;EML4;AKT2;RB1;PIK3CA;AKT3;MAP2K1;PIK3R1;E2F3;ALK
161,Notch signaling pathway Homo sapiens hsa04330,0.40569732,1.326601,0.091451295,0.9967153945577488,37,0.13513513,0.04011939,NUMBL;DTX3;APH1B;PTCRA;CIR1
162,Nucleotide excision repair Homo sapiens hsa03420,0.25918967,0.8450812,0.6933594,0.9967153945577488,34,0.05882353,0.01887455,RFC4;RBX1
164,One carbon pool by folate Homo sapiens hsa00670,0.38184875,0.94684404,0.5245283,0.9967153945577488,12,0.33333334,0.2056887,TYMS;MTHFS;MTHFD2L;ATIC
165,Oocyte meiosis Homo sapiens hsa04114,0.24177206,0.9064246,0.64271843,0.9967153945577488,76,0.25,0.18347819,PPP2R5A;CUL1;ITPR3;YWHAB;REC8;CPEB2;PPP2CB;CDC20;MAPK12;PPP1CA;SKP1;CCNE2;PPP2CA;FBXW11;PPP2R5C;ADCY8;ANAPC11;ADCY1;RBX1
166,Osteoclast differentiation Homo sapiens hsa04380,-0.24977522,-0.94502795,0.54229933,0.9967153945577488,80,0.175,0.10034238,RELA;MAPK8;PIK3R2;MAPK10;IFNGR2;FCGR2C;BLNK;TEC;FOS;NFATC2;IL1A;PIK3CB;ACP5;PIK3R3
167,Other glycan degradation Homo sapiens hsa00511,-0.29873937,-0.68330616,0.85040987,0.9967153945577488,9,0.44444445,0.25072426,FUCA2;MAN2B1;GBA2;MAN2C1
168,Other types of O-glycan biosynthesis Homo sapiens hsa00514,-0.3482675,-1.0171794,0.44444445,0.9967153945577488,22,0.22727273,0.091387935,GXYLT1;B4GALT3;RFNG;ST3GAL3;POGLUT1
169,Ovarian steroidogenesis Homo sapiens hsa04913,0.23968957,0.75456876,0.84007704,0.9967153945577488,30,0.16666667,0.10991133,CYP11A1;ADCY8;STAR;GNAS;ADCY1
170,Oxidative phosphorylation Homo sapiens hsa00190,-0.25361064,-0.93364924,0.5694716,0.9967153945577488,76,0.25,0.19058906,COX7B;ATP6V0A4;COX15;COX6A1;ATP6V0B;UQCR10;ATP12A;ATP6V1F;NDUFB3;SDHD;NDUFC1;NDUFB1;NDUFA12;ATP6V1H;NDUFV2;COX6B2;ATP6V1D;UQCRC2;NDUFB7
172,PI3K-Akt signaling pathway Homo sapiens hsa04151,-0.23147626,-1.0170125,0.41237113,0.9967153945577488,234,0.14102565,0.09498727,BCL2L11;EFNA4;ITGA6;COL4A1;RELA;PIK3R2;FGF10;CDK2;EIF4EBP1;CCNE1;CDK6;CCND2;RELN;ITGA7;PRKAA2;NRAS;LAMB3;EPO;FGF2;SGK2;COL6A5;CREB3L4;FGFR3;EFNA5;PIK3CB;CRTC2;SGK1;EPOR;EGFR;PIK3R3;ATF2;BCL2;RPTOR
174,Pancreatic cancer Homo sapiens hsa05212,-0.23259144,-0.82500786,0.7564655,0.9967153945577488,54,0.16666667,0.09674304,RELA;MAPK8;PIK3R2;MAPK10;RAD51;CDK6;PIK3CB;EGFR;PIK3R3
175,Pancreatic secretion Homo sapiens hsa04972,0.3571383,1.2413441,0.15250966,0.9967153945577488,49,0.5510204,0.31603897,SLC4A4;ATP2A2;RAP1B;ITPR3;ATP2B1;ATP2A3;ATP2B3;SLC4A2;RAC1;CHRM3;SCTR;ATP1B2;RHOA;PLCB4;ATP1A3;PRKCB;PLCB1;CPA2;PLA2G10;CD38;RYR2;ADCY8;GNAS;ADCY1;ATP2B2;PLA2G5;CA2
176,Pantothenate and CoA biosynthesis Homo sapiens hsa00770,-0.36935467,-0.90859735,0.5782178,0.9967153945577488,11,0.72727275,0.3512422,ENPP1;DPYD;BCAT2;PANK3;COASY;PANK4;UPB1;PPCS
177,Parkinson's disease Homo sapiens hsa05012,0.207705,0.7855903,0.86720324,0.9967153945577488,76,0.28947368,0.22359757,CASP9;NDUFB11;CYCS;NDUFS2;UQCR11;CYC1;PPIF;NDUFB4;VDAC1;COX7A1;SLC25A5;NDUFA13;COX6B1;NDUFA11;NDUFS6;NDUFA1;SNCAIP;NDUFB8;UQCRQ;UBE2L6;CASP3;NDUFS5
179,Pathways in cancer Homo sapiens hsa05200,0.24361673,1.1121966,0.18406072,0.9967153945577488,286,0.27272728,0.21192169,MMP9;SOS2;CASP9;MSH3;CYCS;BIRC2;GSK3B;RARA;FZD5;RALA;FGF8;PAX8;FZD10;APPL1;MYC;RAC1;GNB3;GNG11;BCR;TRAF6;PLCB4;CDC42;LEF1;IKBKB;EPAS1;CDKN1B;GSTP1;TRAF5;PLEKHG5;PRKCB;HIF1A;RXRG;MAP2K2;CDKN1A;PLCG2;KRAS;LAMC2;BDKRB1;PLD1;CSF1R;CDH1;CCNE2;DAPK2;BRAF;MSH6;BIRC3;FGFR1;VEGFA;NCOA4;JUP;AKT2;GNG2;FGFR2;LPAR3;RB1;BIRC7;ADCY8;WNT7B;PPARD;GNG8;SKP2;WNT3A;DCC;PDGFB;HSP90AB1;PIK3CA;AKT3;GNAS;LAMA4;ADCY1;FAS;GNB5;CASP3;MLH1;PIK3R1;CSF3R;E2F3;RBX1
180,Pentose and glucuronate interconversions Homo sapiens hsa00040,0.34200096,0.87327987,0.65648854,0.9967153945577488,13,0.30769232,0.14590466,AKR1B1;AKR1B10;UGDH;ALDH1B1
181,Pentose phosphate pathway Homo sapiens hsa00030,-0.30628955,-0.88406354,0.6309013,0.9967153945577488,22,0.4090909,0.26749188,IDNK;PGM2;PFKL;RPIA;TALDO1;ALDOA;RBKS;PGLS;FBP2
182,Peroxisome Homo sapiens hsa04146,-0.38640875,-1.3750609,0.09037328,0.9967153945577488,62,0.14516129,0.11833904,HSD17B4;ACSL6;ECI2;SLC27A2;ABCD4;PRDX5;IDH1;PEX19;MLYCD
183,Pertussis Homo sapiens hsa05133,-0.26763245,-0.88122326,0.6295546,0.9967153945577488,38,0.2631579,0.20744447,GNAI3;RELA;SERPING1;MAPK8;C1S;MAPK10;CALM2;FOS;IL1A;IL10
184,Phagosome Homo sapiens hsa04145,-0.23225515,-0.87613225,0.71153843,0.9967153945577488,83,0.19277108,0.17074883,ATP6V0A4;CTSS;SEC61G;ATP6V0B;RAB5C;SEC61A2;FCGR2C;ATP6V1F;STX12;TUBA3C;EEA1;TUBA1B;STX7;CORO1A;ATP6V1H;NOS1
185,Phenylalanine metabolism Homo sapiens hsa00360,-0.4624847,-0.88528687,0.62151396,0.9967153945577488,5,0.4,0.17171451,ALDH1A3;IL4I1
