,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
6,Atp6v1h,166.6088288260659,1.0033025367783983,0.0589698001471486,17.013836476888773,6.4848695023287145e-65,1.6154899979590394e-63
13,Sntg1,41.22274326966433,0.6794650719404075,0.1114718357151153,6.0953968110554175,1.0916631340946183e-09,4.465732137788699e-09
26,Arfgef1,122.52075573374576,0.6891523867584423,0.0667954819117073,10.317350321229634,5.882412269829565e-25,5.2405311143545294e-24
35,Gm29570,10.85786254113489,2.8276232183508943,0.3057785056550146,9.24729229182994,2.3025145418576212e-20,1.6939997605387494e-19
38,Eya1,69.58245751820955,1.3494781288623074,0.0991410252317514,13.611702377575543,3.412023545600068e-42,5.126242935176459e-41
41,Trpa1,140.96632119498938,1.1399132828450511,0.0632137789644767,18.032671065047868,1.0794863721840406e-72,3.104943696834622e-71
47,Rdh10,398.5221501900824,1.6754775536077224,0.0450224549512009,37.21426464691322,4.01217022880902e-303,1.1316908542163248e-300
49,Ube2w,13.575336397239118,1.2253553876915677,0.1927102466781556,6.358537798657002,2.0368326804062802e-10,8.803788906313651e-10
52,Tmem70,73.91772805302446,0.9190147820127548,0.0817821970532249,11.237345230706485,2.67300080018858e-29,2.76927950199632e-28
63,Paqr8,61.82211658075102,2.3334936111676208,0.1158323152088736,20.14544565529722,2.9504255572839283e-90,1.0954786018212596e-88
75,Sdhaf4,21.25200194671843,1.6227810415715738,0.1788443340254739,9.07370675405591,1.1503542500506726e-19,8.174479936971217e-19
78,Adgrb3,37.52759612561288,0.5069434052570182,0.1286969108833918,3.939048744661348,8.180531031290671e-05,0.0002099356259448
79,Phf3,135.18863495629182,0.5137878765880928,0.0653819565551712,7.858251781660022,3.895317109187682e-15,2.2124490290832796e-14
102,Lman2l,92.74064031904358,0.5491705430555978,0.0720735612423402,7.619583847245543,2.5449485542585958e-14,1.3908143849023225e-13
109,Fam178b,47.61684166345415,0.6922849577023101,0.1030548666117906,6.717634794581404,1.846978874383306e-11,8.613324414724067e-11
112,Zap70,62.08281446581504,0.5599215285014547,0.0913234511796197,6.131191071613925,8.722357219856602e-10,3.5882517774841744e-09
118,Inpp4a,28.05117487077119,2.16209720089419,0.1743771377715312,12.398971726023898,2.646984954641893e-35,3.2806855341443955e-34
