,Term,ES,NES,NOM p-value,FDR p-value,Set size,Tag %,Rank %,Leading edge
156,Nicotinate and nicotinamide metabolism Homo sapiens hsa00760,-0.4928362,-1.3229562,0.13023256,1.0,19,0.31578946,0.19696327,QPRT;CD38;NT5C3B;NMNAT2;NT5C;NMNAT1
157,Nicotine addiction Homo sapiens hsa05033,0.21900217,0.57819986,0.9711191,1.0,26,0.23076923,0.20442785,GABRA1;GABRA3;GRIN1;GABRB1;GRIA1;GABRG1
158,Nitrogen metabolism Homo sapiens hsa00910,-0.43881595,-1.0887967,0.35,1.0,14,0.5,0.21189244,CA5B;CA3;CA13;CA7;CA5A;CA12;GLUD2
159,Non-alcoholic fatty liver disease (NAFLD) Homo sapiens hsa04932,-0.24776508,-0.9574115,0.5779037,1.0,114,0.21052632,0.1844092,NDUFA13;ATF4;COX7B;UQCR10;IL1A;IRS1;PIK3R1;DDIT3;PRKAB2;BID;COX6C;GSK3A;ERN1;NDUFB1;IRS2;PRKAG1;TGFB1;UQCRC2;NDUFS7;NDUFS1;PIK3CB;UQCR11;MLXIPL;COX6A1
144,Metabolism of xenobiotics by cytochrome P450 Homo sapiens hsa00980,0.3013366,0.80521566,0.7436823,1.0,26,0.115384616,0.0908474,GSTM1;GSTM3;MGST1
145,MicroRNAs in cancer Homo sapiens hsa05206,0.311547,1.0899707,0.2908012,1.0,119,0.30252102,0.21028078,SLC45A3;THBS1;CDKN1A;CCND1;KIF23;RASSF1;ABCB1;KRAS;TNC;PDCD4;SIRT1;STAT3;NOTCH1;ERBB3;MMP9;VEGFA;UBE2I;ERBB2;DDIT4;BRCA1;CDC25A;IKBKB;SPRY2;PLCG1;DNMT3A;E2F3;TIMP3;ITGB3;NRAS;FSCN1;TGFB2;HMOX1;SLC7A1;PAK4;BCL2L11;PIM1
146,Mineral absorption Homo sapiens hsa04978,0.32066438,0.86238736,0.669627,1.0,27,0.2962963,0.18084656,ATP1B2;TRPM6;ATP2B1;ATP7A;STEAP2;SLC26A6;TF;HMOX1
147,Mismatch repair Homo sapiens hsa03430,-0.29145625,-0.77024287,0.7860262,1.0,18,0.33333334,0.13342947,MLH1;RFC5;RFC3;PMS2;POLD4;RPA2
148,Morphine addiction Homo sapiens hsa05032,0.35447448,1.1258953,0.2442623,1.0,62,0.17741935,0.12537111,GNG7;GABRA1;GABRB1;GRK4;PDE7B;PDE3A;PDE11A;GNB2;GNAI2;GABRG1;ARRB1
149,Mucin type O-Glycan biosynthesis Homo sapiens hsa00512,-0.41758668,-1.0994341,0.3427896,1.0,19,0.47368422,0.2687251,GALNT14;GCNT1;ST3GAL1;GALNT3;ST3GAL2;GALNTL6;GALNT10;GALNT11;GALNT7
