Trophoectoderm,PE,Epiblast,Neural progenitors,Cardiac Mesoderm,Glia,Differentiated neurons,Ventral neurons,Spinal cord,Hindbrain,Forebrain,Dorsal neurons,Mesoderm,Retinoic acid,Neural,Caudal neurons,Motor neurons,Endoderm,Midbrain,ExE endoderm,Ectoderm,Smooth muscle cells,Endothelium,Hematopoietic,Metabolic genes,Retinoyated proteins,Pluripotency,Primitive streak,Nascent mesoderm,gr state mESCs,naiive mESCs,could be AVE Endoderm,Definitive endoderm,EMT,Paraxial mesoderm
Gcm1,,Gdf3,Lis1,Myl7,Foxj1,Rfox3,,Ebf1,Hoxb1,Cxcr7,,Mixl1,Cyp26c1,,,Bcl11b,Foxa1,,,Jam1,,Cd40,Thy-1,Nrf2f1,,,Fgf2,Hoxb1,,Usp17le,Gpc4,Rreb1,Foxc1,
Ccr7,,Argfx,Dctn2,Pam,Tuba1a,Map2,,Ebf3,Cyp26a1,Ackr3,,Eomes,,,,Rtv4,Foxa2,,,Cgn,,Madcam1,Cd49f,Pck1,,,Smad2,Arhgef7,,Tmem92,Dpp4,Smad2,Gsc,
Cyp19a1,,,Csnk2a1,Myl4,Rarres2,Zc3h12d,,Ajap1,Cyp26c1,Erbb4,,Mesp1,,,,Pea3,Tcf2,,,Lsr,,Cdh5,Epcr,Ppara,,,Smad3,Rac1,,Id1,Sdc4,Smad3,Ddr2,
Dlx5,,,Csnk2b,Itga6,Ccdc153,E2f8,,Thsz2,Cyp26b1,Er81,,Mesp2,,,,Runx1,Cxcr4,,,Ildr1,,Esam,Cd201,Pparg,,,Acvr1,Cdc42,,Utf1,Itgb1,Smad4,Mmp1,
Muc15,,,Syne2,Tesc,Tmem212,Rprm,,Sst,Kreisler,Etv1,,Wnt3,,,,Pou3f1,Hhex,,,Ildr2,,Cldn5,Ret,Slc2a2,,,Dact1,p38Mapk,,Sycp3,Cdh2,Pdx1,Tjp1,
Elf5,,,Nudc,Stard10,Tm4sf1,Dab2,,Chl1,Mafb,Gad1,,Cdh2,,,,Scip,Otx2,,,Jam2,,Sell,Gprc5c,Ucp1,,,Vangl2,Mapk,,Ddx4,Lrp2,Hnf1b,Trim28,
Tfap2ac,,,Aspm,Palld,Mia,Dbc1,,Lhx9,Egr2,Gad2,,Pdgfra,,,,Slc18a3,Ttr,,,Krt1,,,Sca-1,,,,Gpr177,p38,,Id1,Fgfr3,Nkx6-1,Dact1,
Arid3a,,,Insc,Nppa,Apoe,Ikzf1,,Msx1,Hoxb4,Gucy1b3,,Bmp2,,,,Foxp1,Afp,,,Krt14,,,Cd27,,,,Porcn,Nckap1,,Id2,Pth1r,,Pcp,
Bhlhe40,,,Lgn,Myl2,Aqp4,Stx1a,,Msx2,Hoxd4,Meis2,,Gja1,,,,Aldh1a2,Apoa1,,,Krt18,,,Cd43,,,,Wls,Strip1,,Myc,Eomes,,Fgf8,
Ccn31,,,Numa1,Myl3,Acta2,Syt5,,Neurod4,Hoxa1,Slc32a1,,Cripto1,,,,Mecom,Apob,,,Krt10,,,Cd38,,,,Alk2,Crumbs2,,Lin28a,Apc,,Fgf4,
Cdk2,,,Gnai1,Myh7,Cspg4,Syt10,,Neurog2,Irx3,Six3,,Zic3,,,,Lhx3,H19,,,Fst,,,Cd117,,,,Alk3,Rhoa,,Lin28b,Sfrp1,,Fgfr1,
Rho,,,Rhoa,Mpped2,Dio2,Dlg4,,Lmx1a,Hnf1b,Sp8,,Tbx3,,,,Slc17a6,Col1a1,,,Spry1,,,Cd150,,,,Bmpr2,Fgf8,,Utf1,Sfrp5,,Crumbs2,
Rock,,,Cep192,Pln,Myrf,Ngrn,,Lmx1b,Pax6,Tshz1,,Spp1,,,,Neurod2,Lox,,,Yap1,,,Cdh5,,,,Msx1,Fgfr1,,Sox4,Hhex,,,
Krt7,,,Cdk5rap2,Hopx,Nfia,Snap25,,,Nab1,Vax1,,Tcf21,,,,Ebf2,Col3a1,,,Tead1,,,Cd31,,,,Tbxt,Pp2a,,,Amn,,,
Gata3,,,Pcnt,Retrag1,Olig1,C1ga,,,Nlz1,Zfhx1b,,T,,,,Calb1,Ccdc80,,,Tead2,,,Vegfr2,,,,Cdx1,Meox1,,,Afp,,,
,,,Gli3,Mhrt,Olig2,C1gb,,,Pbx,Zeb2,,Lef1,,,,Nfib,Thy1,,,Xrcc5,,,Cd146,,,,,Ppp2r1a,,,Ttr,,,
,,,Cp110,Spink4,Plp1,Dcx,,,Meis,Sp8,,Tcf1,,,,Grm5,Ttf1,,,Erbb3,,,Vwf,,,,,Flk1,,,Sema6d,,,
