,index,group,names,scores,logfoldchanges,pvals,pvals_adj,rank
0,14388,RA_7d,Tmem106c,103.28389,33.06373,0.0,1e-300,9919.11849975586
1,14390,RA_7d,Casc4,97.282036,33.045383,0.0,1e-300,9913.615036010742
2,14387,RA_7d,Gm26644,104.71701,32.998543,0.0,1e-300,9899.56283569336
3,14391,RA_7d,Eci1,96.86606,32.985283,0.0,1e-300,9895.584869384766
4,14393,RA_7d,2410006H16Rik,91.875496,32.96044,0.0,1e-300,9888.13247680664
5,14386,RA_7d,Sgsm1,106.43281,32.94122,0.0,1e-300,9882.365798950195
6,14395,RA_7d,Ppt2,85.622604,32.843044,0.0,1e-300,9852.913284301758
7,14392,RA_7d,Nlrp4e,93.81411,32.761646,0.0,1e-300,9828.493881225586
8,14389,RA_7d,2210016L21Rik,100.022446,32.74923,0.0,1e-300,9824.768829345703
9,14396,RA_7d,Adam21,82.99547,32.613415,3.1677197e-317,2.8481759525e-314,10225.787259936964
10,14394,RA_7d,Gm50254,86.06292,32.55887,0.0,1e-300,9767.660522460938
11,16243,RA_7d,Ccdc184,6.222039,25.527971,9.606168096846717e-10,4.958533700797878e-09,212.00078313040612
12,16654,RA_7d,Scaf4,5.6063476,25.271975,3.245204844964152e-08,1.4237730070037905e-07,173.02607108815454
13,17112,RA_7d,Gm16286,4.9933257,24.788315,7.935426025049668e-07,2.965169838866611e-06,137.02857546753165
14,17093,RA_7d,Capn15,5.0179625,24.78497,7.02099872915243e-07,2.6351183855357903e-06,138.28029763483528
15,17038,RA_7d,Tmem39a,5.107304,24.689083,4.4846135384659505e-07,1.716754932527173e-06,142.33976577784605
16,17863,RA_7d,Pdzd2,4.1177297,24.44725,4.402013964157011e-05,0.00013184962083773218,94.85340289410185
17,17646,RA_7d,Angptl8,4.3301015,24.342237,1.7655024404929384e-05,5.6064903819038956e-05,103.48637126458358
18,17937,RA_7d,Acin1,4.0335817,24.313162,6.254233534915476e-05,0.00018339462623989818,90.84888621941282
19,17495,RA_7d,Gm45353,4.480256,24.299711,9.039225374502851e-06,2.9933020503302746e-05,109.92823543753752
20,17536,RA_7d,Raph1,4.4377627,24.21572,1.0946187724557106e-05,3.592787054653856e-05,107.62842341488535
21,18878,RA_7d,Gm34030,3.2677307,24.180077,0.0011504323828737274,0.002721611619802901,62.026100171602764
22,18110,RA_7d,Foxl2os,3.869426,24.151878,0.00012190349583718463,0.00034205260212867914,83.70816670891197
23,18027,RA_7d,Msh6,3.9419596,23.981659,9.10340539578765e-05,0.0002608796614019943,85.93970836817496
24,18102,RA_7d,Alas1,3.8770328,23.979105,0.00011825263881838521,0.00033252198241620206,83.4036347576552
25,18458,RA_7d,D730045A05Rik,3.5834422,23.977278,0.0003685985716963103,0.0009540588435450018,72.42156529215055
26,18874,RA_7d,Sync,3.2711976,23.936415,0.0011366844753977648,0.0026926301437629253,61.51235618165878
27,18355,RA_7d,Gm13388,3.6578672,23.926418,0.0002782856216212343,0.0007383653546003461,74.93105063775327
28,18624,RA_7d,Pou3f4,3.4610548,23.904398,0.0005790150968740989,0.0014458793930968213,67.88533320989585
29,18511,RA_7d,Psmd8,3.5371404,23.875769,0.0004379534486075534,0.0011210673152434632,70.44231121469167
30,18398,RA_7d,Epha6,3.6215544,23.852383,0.00031938163273735447,0.0008379763210942151,73.38825373033161
31,19299,RA_7d,Ablim1,2.998387,23.819975,0.002834404236564694,0.006151114700138737,52.66706437991307
32,19738,RA_7d,Vmn1r32,2.73554,23.77479,0.006424901093772245,0.012880143155066914,44.93623832045522
33,18222,RA_7d,Cysrt1,3.7641785,23.714539,0.00018470428300916897,0.0005045871278712314,78.18834744044757
34,18357,RA_7d,Col6a3,3.6551552,23.706522,0.00028117440137892833,0.0007453427194098512,74.14556093430836
35,18619,RA_7d,Gm45442,3.4645789,23.627104,0.000571639493707191,0.0014289497404816071,67.21870975514828
36,18461,RA_7d,Farsb,3.5817163,23.52171,0.00037098740888679414,0.0009597239460970005,70.98507714036195
