gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Xkr4,613.8208425449868,-0.04183583262994241,0.05536640126795999,-0.7556176972288138,0.44987844224675455,0.632265877936512
Gm1992,77.41801346973357,-0.23403915105879683,0.14450496686290099,-1.619592434361383,0.10531985586636908,0.23748405838976447
Gm19938,1083.6382691712129,-0.8165228046148187,0.04939050581916517,-16.531978992164536,2.1593602069615423e-61,2.1268258465099884e-58
Mrpl15,4.776541590597793,0.18674004210363296,0.5612116629152377,0.3327444072234777,0.7393272256428773,0.8520717943299272
Tcea1,72.8822002154112,-0.17778693643495935,0.1458549602257891,-1.2189296555957942,0.22287089277087946,0.4005223901954717
Atp6v1h,742.1909274502958,-0.6082955541650955,0.04968536843480433,-12.242951462929833,1.8324564300018063e-34,4.438149392925686e-32
Rb1cc1,158.87534057317737,0.08374191302775322,0.10939994350813813,0.765465779436383,0.4439942362465036,0.6272224513607376
4732440D04Rik,1393.4268330563207,0.5921568134489898,0.04426391989184413,13.377866553524509,8.145189257780357e-41,2.6741561354321553e-38
St18,4.1393731825275815,0.8472043269742338,0.6297361943001286,1.3453321162773455,0.1785180065127978,0.3430956764448731
Gm30414,7.558849078098629,0.19859278481344225,0.49980178499942457,0.39734308834785553,0.6911144771714501,0.8180855128379941
Sntg1,53.796866062394656,-0.2642268259596896,0.16435786098833952,-1.6076312040738676,0.1079159739021882,0.24182475328847694
Rrs1,543.2419081880169,-0.34592325479641817,0.06443157760835917,-5.368846575495601,7.924179352461657e-08,1.3805639829394872e-06
Adhfe1,333.52491402618284,-0.18376888181422726,0.07397238537943562,-2.484290331744732,0.012980992558214617,0.04899876955929043
2610203C22Rik,90.44065548269262,-0.06433411818934706,0.13994736223151505,-0.4597022563592093,0.645729949737397,0.7863210732548014
Mybl1,12.143341825294243,0.36688452096774615,0.35801436747701504,1.024775970733355,0.30546890698585505,0.49500906348678536
Vcpip1,49.25602857022595,0.06883474248665067,0.1799762887579947,0.3824656178970852,0.7021160268532316,0.8257121838492427
1700034P13Rik,130.01348871648537,-0.09952652350178791,0.10931914148498942,-0.9104217445345916,0.36260013448415274,0.5508993589559408
Sgk3,42.69277395512399,-0.2167616325858443,0.25840501859706183,-0.8388445153375552,0.401556566837299,0.5887264779650943
Snhg6,6.991143452372943,0.18376780746096708,0.5267358222908474,0.3488804058583586,0.7271790959090543,0.84327191904319
Tcf24,192.20297192698408,0.09836076925291005,0.08723835082631351,1.127494597516414,0.25953342339829033,0.4441489836719042
Ppp1r42,108.95960020220056,-0.3636303973172978,0.11320718107459243,-3.2120788969888845,0.001317781802340607,0.007655882165859271
Cspp1,54.71379630040394,1.314411827898698,0.18489767874234442,7.108860624098671,1.170048287830627e-12,4.597418458619596e-11
Arfgef1,226.97464557943422,-0.0988453062625155,0.08740659363106305,-1.1308678459629078,0.25811071856378687,0.4426895467914311
Cpa6,11.542762763150467,0.5215283560370373,0.4562947807330882,1.1429636674764152,0.25305367632049147,0.4368051190511673
Gm29283,9.765674030433557,0.26006608087457955,0.43277131150023235,0.6009318870353076,0.5478853538091175,0.7139678725086147
Ncoa2,15.077212925434916,0.5784558376333117,0.3166883695261263,1.8265774600402243,0.06776332493392608,0.1722373237523781
