,0
393,Fam222b
394,H2-Q4
395,Prdx3
396,Gm26901
397,Pcid2
398,Ptchd3
399,1700021A07Rik
400,Limk2
401,Tnrc18
402,Ilvbl
403,Ubr1
404,Cdc34
405,Zdhhc5
406,Tcf21
407,Sema4g
408,Trim8
409,Clasp2
410,E2f8
411,Gm33222
412,Enpep
413,Sfpq
414,Lmnb1
415,Gm15689
416,Zfp959
417,Gm3252
418,Gm35066
419,Phf12
420,Map3k1
421,Zic1
422,5031415H12Rik
423,Clic4
424,Gm42664
425,Chst7
426,Ryr2
427,Tial1
428,Prdm8
429,Tbc1d12
430,Nmbr
431,Tmsb15b2
432,Olfr814
433,Slc10a7
434,Lum
435,Tmem158
436,Gm29283
437,Mest
438,Gm10184
439,AU020206
440,Npc2
441,Satb2
442,Mblac2
443,Susd4
444,Tro
445,Gm48284
446,Gm48420
447,Gm17382
448,Gli2
449,Mep1b
450,Mettl27
451,Tmod2
452,Fryl
453,Gm33180
454,Xrcc3
455,Pcnx4
456,Iqcg
457,Ado
458,Gm6093
459,Mrln
460,Nr2e3
461,Gm26569
462,Msi1
463,Dgkk
464,Pex1
465,Gm32916
466,Hacd2
467,Itpa
468,Faap24
469,Dkkl1
470,Ggps1
471,Commd10
472,Adgrl3
473,3110001I22Rik
474,Fam122a
475,Apela
476,Mrpl39
477,Baiap2
478,1700007K13Rik
479,Cdr2l
480,Borcs7
481,Sphkap
482,Nop16
483,Glrx
484,Arhgap11a
485,Pnrc2
486,Gm48395
487,Upk1a
488,Mkx
489,Sap25
490,Tmem169
491,Esx1
492,Gpx4
493,Sorcs1
494,Cep83
495,Ntf5
496,Dhx36
497,Ddx24
498,Il23r
499,Ubtd1
500,Churc1
501,D16Ertd472e
502,Cpa2
503,Fcrl5
504,Pld6
505,Timp3
506,Lpcat3
507,Atf1
508,Eloc
509,1700094J05Rik
510,Gsdmd
511,Gm9725
512,Gm11899
513,Akap5
514,Fkbp7
515,Slc35a2
516,Gm10535
517,Peli3
518,Tnni2
519,1700013F07Rik
520,Gm15892
521,Tex30
522,Emx1
523,Gm14964
524,Gm39090
525,Bfar
526,Gm33497
527,Gm12701
528,E230001N04Rik
529,Aldh4a1
530,Cul4b
531,1700016F12Rik
532,Ccdc194
533,Gm20492
534,Zfand5
535,Ddr2
536,Spop
537,Gm12682
538,Gm3002
539,Gabra3
540,Eral1
541,Uxs1
542,A730035I17Rik
543,Lgr5
544,Map3k21
545,Cdc5l
