gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Xkr4,771.9619437899651,-0.018568294239976378,0.06897545265115149,-0.26920148438730684,0.7877746380479895,0.84232087835175
Gm1992,201.2008151448897,-0.7237342813316628,0.13483707137667708,-5.367472564795322,7.984764936381353e-08,3.559161579633101e-07
Gm19938,1451.5490524871539,1.8645276924388268,0.06860072241814946,27.17941774831128,1.1374740026293318e-162,1.5920499767710175e-160
Mrpl15,27.13923393597551,-0.7180876393797136,0.3587130312266501,-2.0018443069217504,0.045301479028345866,0.07895649589032222
Tcea1,85.62995890807547,-0.0715259722959013,0.19683856965057223,-0.36337376573541547,0.7163256962946452,0.786103943604463
Rgs20,6.072601911895306,-0.8236380386818082,0.7588664684254623,-1.0853530534703126,0.27776531667521465,0.3708033309227092
Atp6v1h,556.6491262232367,0.08030642043505064,0.09207274013800336,0.872206261209162,0.38309586440328613,0.48152044479981987
Rb1cc1,466.9058758947913,2.052883208706344,0.09311161931028436,22.047551357315932,1.0083394674568687e-107,7.322827566493373e-106
4732440D04Rik,3756.919058129777,-0.033604215452021226,0.038338545148341084,-0.8765125364564149,0.38075146417047145,0.4792774894138729
St18,143.46929576192073,0.43434574962809286,0.15196270699408118,2.858239091812245,0.004259992754013582,0.009729065158204389
Pcmtd1,176.5342625467238,1.2241500823015727,0.14706462002098844,8.323892463917339,8.512083527658334e-17,7.429253854412001e-16
Gm26901,18.53998779231413,-0.507411218284066,0.42129884360075437,-1.2043973677860753,0.22843602893940385,0.3153819683541839
Gm30414,215.6106445952764,-3.8482389474952936,0.20871491031271608,-18.437776878180404,6.537440244293207e-76,3.1257897515881436e-74
Sntg1,14.27433604434983,-0.41206611450134667,0.4813064506607998,-0.8561408515003466,0.3919198747281012,0.49079710782170644
Rrs1,330.2013188185027,0.7752294801860582,0.10427962177406261,7.434141656801449,1.0524913397210013e-13,7.498452876605524e-13
Adhfe1,262.8083064155326,0.2753696289521875,0.10994496097312266,2.5046134585422686,0.012258528150476749,0.02519454003534108
2610203C22Rik,74.91291550854991,0.16372567568651195,0.2127401622113637,0.7696039806712452,0.4415348430111826,0.5391711963039473
Mybl1,256.2293297163055,-2.2720019275185046,0.138932358575508,-16.35329559516331,4.120775642313291e-60,1.4551252703911797e-58
