,names,rank,logfoldchanges,pvals_adj
0,Gm50254,9935.529327392578,33.11843,1e-300
1,Gm26644,9933.370971679688,33.111237,1e-300
2,Adam21,9905.982971191406,33.019943,1e-300
3,Ppt2,10475.270749842119,32.849358,1.29376e-319
4,Eci1,9843.645858764648,32.812153,1e-300
5,Capn15,457.9013359579408,26.874815,9.155740182862912e-18
6,Alas1,350.28193923034405,26.4226,5.534690465977817e-14
7,Ssc4d,193.63833133458576,26.212439,4.099502337326604e-08
8,Gm45353,187.84900336274137,25.864824,5.4610854158362105e-08
9,Msh6,232.24593745607285,25.844229,1.0318694469530204e-09
10,Ces4a,214.83664115088973,25.815798,4.765341820371227e-09
11,A330084C13Rik,190.35508926306073,25.791958,4.1648101709264804e-08
12,Tspan7,155.35942061655555,25.761087,9.315821763887856e-07
13,Lypd2,213.43039411741515,25.743603,5.1213128936541976e-09
14,Cacnb2,143.99279111208813,25.41438,2.1587379454351675e-06
15,Wdr20rt,182.5184304230026,25.254164,5.9256922156478386e-08
16,Tmem39a,144.9231921536229,25.203133,1.777438113405478e-06
17,Blmh,150.9451686039013,25.171307,1.0075911333648796e-06
18,Ablim1,142.88839722128841,25.160925,2.0942073877295033e-06
19,Tmem39b,122.73424553921349,25.15178,1.3190337854728566e-05
20,Zfp334,94.26072506298725,25.08026,0.00017443625136588902
21,Best3,102.70087511353496,25.064955,7.991177777174775e-05
22,Bcar1,72.939928681324,25.046255,0.0012240271044406008
23,A930005H10Rik,127.92316212180252,24.990139,7.604215214591021e-06
24,Epha6,112.19355078391176,24.986801,3.235097658096088e-05
25,BC028777,124.1627620073396,24.96943,1.06514619277774e-05
26,Tmem147,108.0721649395289,24.944292,4.650066104740645e-05
27,Cd40,94.37947730807656,24.92352,0.0001633940768866287
28,8030451O07Rik,95.5598470226913,24.869387,0.00014372456827000044
29,Gm44764,94.09335456729028,24.842102,0.0001630584419386501
30,Gm13388,126.86602479788785,24.792448,7.636181569302473e-06
31,Foxm1,107.2979054922326,24.786427,4.689237986207975e-05
32,Farsb,112.81549477549132,24.76167,2.7793694810462684e-05
33,Ahnak2,53.668791753132545,24.742975,0.006775608903664701
34,BC051226,112.20468332525665,24.72834,2.900724441774442e-05
35,Dlgap1,94.57111276571496,24.599241,0.0001430629732306629
36,Gm41409,83.0705214994944,24.581415,0.00041744230384026883
37,Filip1l,62.586313413910005,24.541296,0.0028167944974856708
38,Nudt12os,83.25020575923908,24.529459,0.0004037506691088534
39,Gm12296,84.25211227725545,24.522165,0.0003666457213747663
40,Gm26865,79.51656156822543,24.50462,0.0005689025918756349
41,Gm14963,88.79596203698321,24.44138,0.00023279969182179547
42,D10Wsu102e,77.16364011268293,24.423363,0.000692756871419237
43,Etfdh,66.43703956056041,24.421766,0.0019036945832866677
44,Cyb561,68.5318771368054,24.41196,0.0015584490941269054
45,Dnmt3bos,72.60205195671234,24.410168,0.0010610734927119058
46,Prss33,63.14375496724032,24.390247,0.002576952489985306
47,Slc22a16,76.15172584161574,24.356201,0.0007471629081121157
48,1810014P07Rik,54.33426728812118,24.344479,0.00586282820607698
