gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Xkr4,254.8232416727977,-0.03108715982697537,0.0451519057291294,-0.6885016108394231,0.49113695624418574,0.5694870103963878
Gm1992,38.06241133785649,-0.2704557537666024,0.10846765688481912,-2.493423030736223,0.012651801121173692,0.02283330216791388
Gm19938,473.3260457273413,-0.8212138210938458,0.05449410413556355,-15.06977376948768,2.559880882985633e-51,4.887248567866021e-50
Mrpl15,13.133859526842414,-0.9083812845115992,0.20333177513270917,-4.467483175803306,7.914523358868446e-06,2.2926815388419975e-05
Tcea1,49.59116035613655,0.3485943426833324,0.09598172290820056,3.631882530559878,0.00028136120034449847,0.0006699951894913657
Rgs20,5.298682506163764,0.9777147256620123,0.3126497985916783,3.1271880873299747,0.0017648697947492754,0.003726191352236548
Atp6v1h,166.6088288260659,1.0033025367783983,0.05896980014714863,17.013836476888773,6.4848695023287145e-65,1.6154899979590394e-63
Rb1cc1,705.1571650215614,-1.3428823824010505,0.03485089286763474,-38.5322231915658,0.0,0.0
4732440D04Rik,800.3628722435975,0.14770464329161928,0.03156181175196377,4.67985312289397,2.8708050485903614e-06,8.720625098097663e-06
St18,46.8927700284053,-3.8017867064906596,0.18222703752323266,-20.86291232170176,1.1636537366901742e-96,4.7106427192680014e-95
Pcmtd1,2.578757851988143,-3.207335255594306,0.6525383802974708,-4.915167218412789,8.870671158481017e-07,2.839653985347172e-06
Gm26901,3.9355906092749517,-2.2805348312100855,0.4223750471190546,-5.399312404379023,6.689679450676254e-08,2.382185180888339e-07
Gm30414,39.10471055459374,0.47136759455425487,0.1212374166345225,3.887971285096093,0.00010108558188601086,0.0002563121148358066
Sntg1,41.22274326966433,0.6794650719404075,0.11147183571511535,6.0953968110554175,1.0916631340946185e-09,4.465732137788699e-09
Rrs1,396.0470996639054,-0.5312477302136364,0.03535410857496687,-15.026477872780994,4.9250534358899986e-51,9.32135654619527e-50
Adhfe1,171.497466443913,0.045746992803639905,0.056036250959100364,0.8163821101634662,0.41428162529791446,0.49497554575458963
2610203C22Rik,38.84005441409904,0.42124123684147524,0.11108826763795394,3.791950723494366,0.0001494685763413798,0.000369561213496119
Mybl1,61.148276841827794,-1.2237060782254179,0.09383626429068535,-13.040865250503037,7.16393939441631e-39,9.89596936252389e-38
Vcpip1,19.445510613483304,0.25306052470960616,0.1663792798265819,1.520985816102658,0.1282633967704474,0.1797043969493338
1700034P13Rik,79.7268102971923,0.04528205769500963,0.07409954750858144,0.611097627684778,0.5411349502686773,0.6161046881704836
