,index,group,names,scores,logfoldchanges,pvals,pvals_adj,rank
8566,10497,EB_8d,Glipr1,-3.720201,-0.6815209,0.00020905256052440585,0.000566904832366466,-2.212550610984392
8567,8740,EB_8d,Cdc7,-2.556613,-0.68156177,0.010703211481224616,0.020375334176114507,-1.1524495627698028
8568,11981,EB_8d,Gm21781,-5.4209366,-0.68161815,7.267624023754973e-08,3.06694160181106e-07,-4.439579769380877
8569,12256,EB_8d,Foxn4,-5.808405,-0.68166316,8.223957505819642e-09,3.85625334676406e-08,-5.0537377803018115
8570,5202,EB_8d,Atxn7l1,-0.64125687,-0.6819858,0.5215037454438656,0.5969883728778109,-0.15278809248178293
8571,7921,EB_8d,Gm21814,-2.0862079,-0.68201715,0.03718868536400475,0.061942390603979665,-0.8238849240103558
8572,8380,EB_8d,2810432F15Rik,-2.3468528,-0.68228704,0.01910827149019305,0.03423307517533215,-0.9999285555865647
8573,12315,EB_8d,Has3,-5.9003,-0.6823137,4.826081346673841e-09,2.315038554626538e-08,-5.209766378730796
8574,12650,EB_8d,Slc35a1,-6.440554,-0.6823184,1.7670427683324758e-10,9.833917704151256e-10,-6.145828300095462
8575,7536,EB_8d,Crxos,-1.8895369,-0.68233573,0.05909470115161659,0.09298221270558418,-0.7038976275603259
8576,12245,EB_8d,Smarcc1,-5.789564,-0.68254143,9.159146765460198e-09,4.2738723765134745e-08,-5.029769597562586
8577,11968,EB_8d,Mcur1,-5.408226,-0.68279123,7.78350765517793e-08,3.267392504446738e-07,-4.428446486020765
8578,11963,EB_8d,Cyp4x1,-5.402682,-0.68281585,8.02879353063107e-08,3.362510152304471e-07,-4.420096691974381
8579,7662,EB_8d,S100a11,-1.953052,-0.6828354,0.05106802282726508,0.08178387803551547,-0.742468986033346
8580,11080,EB_8d,Tex101,-4.2822804,-0.6830308,2.012073948989811e-05,6.344957437564098e-05,-2.8670704074912594
8581,11271,EB_8d,Snx31,-4.475936,-0.6831041,8.42588380064958e-06,2.8026535111247365e-05,-3.109783991350051
8582,12299,EB_8d,Reln,-5.8834624,-0.6831056,5.319739553001264e-09,2.5371973527491398e-08,-5.188628056262105
8583,8367,EB_8d,Rdm1,-2.3411956,-0.6832575,0.019405618780942224,0.03469233649591585,-0.9973964045953362
8584,8318,EB_8d,Entpd6,-2.317662,-0.683468,0.020653516725564154,0.03663643546411417,-0.9815193418278484
8585,10565,EB_8d,Mga,-3.7809925,-0.6837302,0.0001645012347642909,0.00045300818593397565,-2.286321229257651
8586,7969,EB_8d,Slc25a12,-2.1167812,-0.6839101,0.03450141285105876,0.05794948339466799,-0.8459628583526928
8587,7169,EB_8d,Celsr2,-1.6911261,-0.68405086,0.09109344432412236,0.13603968546110498,-0.5926167765706776
8588,7627,EB_8d,Gm48742,-1.9336807,-0.68413687,0.053414288014817735,0.08512652327954817,-0.7319820502394927
8589,11196,EB_8d,Drc1,-4.3948956,-0.6843034,1.2155635319764931e-05,3.959043914651082e-05,-3.0125839256192672
8590,12525,EB_8d,Nedd4,-6.2143536,-0.68430984,7.297973118375364e-10,3.83450114247436e-09,-5.759350837238778
8591,6735,EB_8d,Gad1,-1.4619898,-0.6844125,0.14403452249285081,0.2022726123176642,-0.4750253216501801
8592,10194,EB_8d,Ak1,-3.4931817,-0.68449724,0.0004964176080352726,0.001255752366660002,-1.9857921932211924
8593,9297,EB_8d,Rspo1,-2.9002142,-0.68460226,0.0038049761099320906,0.008017926807892642,-1.4348838329869242
8594,12206,EB_8d,Sgce,-5.741218,-0.684743,1.21098794261467e-08,5.5605721488843415e-08,-4.967728558635935
8595,12508,EB_8d,4933404O12Rik,-6.1982903,-0.68516064,8.012090378764176e-10,4.179185358553351e-09,-5.740898192765476
8596,9818,EB_8d,Slc30a4,-3.2161021,-0.68581015,0.001337321751876377,0.003120634342659134,-1.7184736606399815
8597,8408,EB_8d,Zfp386,-2.3644686,-0.6858224,0.0182320084711987,0.032810316971061355,-1.0177533316876985
8598,12352,EB_8d,Mir22hg,-5.951296,-0.685942,3.563765781472232e-09,1.734969019704214e-08,-5.323395710988649
8599,5784,EB_8d,1700034J05Rik,-0.9733415,-0.6860518,0.33059551745178883,0.40769874283995167,-0.26732736955678066
8600,10116,EB_8d,Ccdc134,-3.4381,-0.6867706,0.0006078364898097535,0.001512076040533134,-1.9369859597530508
8601,12398,EB_8d,Mpp2,-6.01702,-0.6868676,2.4070705343611445e-09,1.195722261993074e-08,-5.441619009991232
8602,10521,EB_8d,Diaph1,-3.743557,-0.68691736,0.00019069357050965663,0.0005194693628767128,-2.25613891091691
8603,11650,EB_8d,Hsf2,-4.977496,-0.6872106,7.461106460365007e-07,2.794677175409282e-06,-3.816539868403986
8604,10487,EB_8d,Fam81b,-3.7153573,-0.68723553,0.00021314066645126682,0.0005763612081894595,-2.226165678653378
8605,8804,EB_8d,Reps1,-2.5952969,-0.687474,0.009576345794523152,0.01843754156852383,-1.1922841086697722
8606,5374,EB_8d,Fam217a,-0.73787564,-0.6875434,0.4607569335498295,0.5392051774219351,-0.1844307279117669
8607,7799,EB_8d,Rasgrp4,-2.0284154,-0.6876291,0.04275470057497134,0.06994986039708151,-0.7943581814394381
8608,12589,EB_8d,Mtln,-6.336629,-0.68781286,3.3995576171334956e-10,1.8378818444224903e-09,-6.008514745890623
8609,10986,EB_8d,Gm31266,-4.19804,-0.6879548,2.9109137940041495e-05,8.938400392858845e-05,-2.7853501841605284
8610,9415,EB_8d,Naaladl2,-2.9579344,-0.68797374,0.003163763795724735,0.006801241178316802,-1.491122414000927
