,0
384,Ralgapa2
385,Hist4h4
386,Gm17188
387,Slc15a2
388,Ldb2
389,H1f0
390,Gm7598
391,Prcc
392,Entpd1
393,Gm10655
394,C030034I22Rik
395,Rp1
396,Adar
397,Scara3
398,Gm13054
399,Camsap2
400,Ankrd54
401,Tunar
402,Klb
403,Lmln
404,Imp4
405,Znrf2
406,Tmbim6
407,Nsun5
408,Mypopos
409,Ndufs8
410,Akr1c14
411,Greb1
412,Btbd19
413,Lrp3
414,Irak1
415,Cr2
416,Gm12905
417,Haus1
418,Gm33037
419,Fgf9
420,Gpx1
421,Slc34a3
422,Bag5
423,Garnl3
424,Gm47405
425,Gpr20
426,Zfp819
427,Slc25a28
428,Pign
429,Chgb
430,Nfrkb
431,Gm14305
432,Zglp1
433,Gm19500
434,Mrvi1
435,Plet1
436,Tpm3-rs7
437,Ap2b1
438,Ranbp17
439,Bpgm
440,Nyap2
441,Morf4l2
442,Gm44737
443,Zfp777
444,Palld
445,Myh9
446,Gm26777
447,Gm50301
448,AC168977.1
449,Gm3739
450,Gm10037
451,Shisa9
452,Slc25a4
453,Jrk
454,Lin9
455,Etv3
456,Ythdf1
457,Brpf1
458,Ntmt1
459,Iqca
460,Il31ra
461,Pafah2
462,Gm35167
463,Gm47903
464,Atp5l
465,Gm45464
466,B3gat1
467,Zfp455
468,Map3k13
469,Arl8b
470,Ube2o
471,Ticrr
472,Sesn1
473,Cd46
474,Inpp5k
475,Nectin3
476,Ocrl
477,Gm12510
478,Ubr5
479,Stra6l
480,Gm37799
481,Ranbp3l
482,Ropn1
483,Cops4
484,Mir133a-1hg
485,Ccl2
486,F2rl1
487,Ccdc120
488,Macrod2os1
489,Ehmt2
490,Myl4
491,Helz
492,Rilp
493,Vps51
494,Cenpk
495,Frmd7
496,Tardbp
497,Wdr72
498,Cul2
499,Utp15
500,Gm41230
501,Tfrc
502,Serpinb1a
503,Gm10062
504,Hdhd5
505,Adgrv1
506,Ecd
507,Gm31683
508,Ddo
509,Gm30889
510,Tagln3
511,Rhpn1
512,Xlr4a
513,Gm19569
514,Sh3bp5
515,Pla2g4e
516,Pold4
517,Alx4
518,Lpar6
519,Gm27032
520,Mrpl33
521,Ccdc71
522,Spink4
523,Dtd2
524,Gins2
525,Cox7c
526,Nxpe3
