gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Xkr4,374.71436251115057,-0.24407457459495516,0.05487107736301751,-4.4481462060640835,8.661456810332214e-06,4.357436028971092e-05
Gm1992,53.22824067004396,-0.3404021327565626,0.12183765672467914,-2.793899209058012,0.0052076707108166444,0.014714249977841518
Gm19938,564.5987298237088,-0.5077505129415866,0.08181624717826823,-6.205986346883601,5.435489738872374e-10,4.879468723428492e-09
Mrpl15,12.058588389148543,0.09766632067000532,0.29083732636907556,0.3358108186776059,0.7370135313489175,0.8223637751464375
Tcea1,90.74556037155118,-0.48634603377005575,0.0920051108690065,-5.286076275289721,1.2496780345625942e-07,8.429564384701893e-07
Rgs20,8.462352136818682,0.39716334842501394,0.3168997351967618,1.2532776279488425,0.21010468734400356,0.327489220345425
Atp6v1h,436.63015845414407,-0.9153269852037342,0.0528288494043414,-17.326271450623604,2.9803505755711434e-67,3.827361658994913e-65
Rb1cc1,488.0458734695815,0.3270241812890685,0.052151604790363175,6.270644644659097,3.595563581817348e-10,3.2876789743185087e-09
4732440D04Rik,946.9696115009415,0.6112792047799366,0.039612111481027834,15.431623862633726,1.0031409782011945e-53,1.0045143259689698e-51
St18,10.445306193618425,-0.5246370950395417,0.2997719554065486,-1.750120668653052,0.08009749399031206,0.15141927648039327
Gm26901,1.7912213031223023,0.05195149634826293,0.7152213027483979,0.07263695327394148,0.9420950199149879,0.9646563955839206
Gm30414,45.29160203340741,1.0966640387672764,0.15634844309946866,7.014230631446583,2.3121772383447065e-12,2.637136113943932e-11
Sntg1,63.118964739346815,0.27339996179759035,0.12049250836557861,2.2690204188303973,0.02326708419263191,0.05351683857979856
Rrs1,445.2766620479026,-0.028283943210790464,0.04388378982355569,-0.6445191567207892,0.5192388393919426,0.647294666631482
Adhfe1,255.27969983110668,-0.20631961779255412,0.054547317053482834,-3.7823971725366587,0.00015532526473932616,0.0006215596880850819
2610203C22Rik,64.01682292282761,-0.15709048307289022,0.11278262270508105,-1.3928607023412751,0.16366191790725593,0.2699298475444869
Mybl1,46.146694578288,0.232229574477908,0.1282523195699891,1.8107241666781477,0.07018356002900605,0.13543221270566286
Vcpip1,28.335807047864872,0.02800581165581661,0.173643073298916,0.16128378243804928,0.8718698957781371,0.9202250615895351
1700034P13Rik,109.89039909736711,0.012046538555632017,0.08474977238797989,0.14214242960421905,0.8869675044284431,0.9299097326239161
Sgk3,8.756915961693567,0.3079263168372979,0.2868860269330023,1.0733402394296785,0.2831184869736586,0.4127656041561538
Snhg6,7.31235905643674,0.2233634524183701,0.340112884982309,0.6567332855677854,0.5113524279587354,0.6402499343320125
Tcf24,142.81892593478668,0.26666190095654696,0.07400091337794966,3.603494724377352,0.0003139671228714283,0.001186137190223678
Ppp1r42,119.72698893901513,-0.4036052607382038,0.08033436697821035,-5.024067231993954,5.058851452237342e-07,3.1369354213412755e-06
