,score,score,score,score,score,score,norm,norm,norm,norm,norm,norm,pval,pval,pval,pval,pval,pval
,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
source,,,,,,,,,,,,,,,,,,
Arginine biosynthesis Homo sapiens hsa00220,0.5994029,0.47695255,0.4408835,0.39406586,0.52077043,0.45928,0.9883186,1.063193,0.9360862,0.9270094,0.8184349,0.7648751,0.5257836,0.39164087,0.58768266,0.5479705,0.941,0.973974
Arrhythmogenic right ventricular cardiomyopathy (ARVC) Homo sapiens hsa05412,0.5459876,0.22678131,0.41393504,0.31808195,0.53541493,0.50974834,0.94564795,0.6888306,1.0083895,1.0750301,0.9182411,0.93725425,0.684,0.9169859,0.487,0.35304055,0.936,0.838
Ascorbate and aldarate metabolism Homo sapiens hsa00053,0.601825,0.6215539,0.5752346,0.69736844,0.43387985,0.41361353,0.9196821,1.1364038,1.0418468,1.2990555,0.6270626,0.623797,0.6533333,0.3385965,0.4479804,0.184,0.99682873,0.99469215
Asthma Homo sapiens hsa05310,0.50880486,0.63590115,0.7222122,-0.29602066,0.6001827,0.5588382,0.8104207,1.2880278,1.4030823,-0.6209029,0.89314836,0.8781583,0.78563887,0.17694806,0.04894327,0.91217566,0.7314344,0.7397541
Autoimmune thyroid disease Homo sapiens hsa05320,0.41467175,0.43226734,0.50115186,0.21225469,0.5890674,0.5623486,0.69292444,0.9925263,1.0926013,0.5316207,0.9346177,0.9515139,0.92978936,0.47526237,0.38398358,0.9729207,0.704,0.635
Axon guidance Homo sapiens hsa04360,0.53987265,0.31961763,0.36860377,0.23348221,0.5897441,0.5293503,0.95472914,1.0283496,0.9209725,0.87251,1.0256686,0.99147534,0.699,0.42497137,0.77,0.7206133,0.277,0.566
B cell receptor signaling pathway Homo sapiens hsa04662,0.5221033,0.3243499,0.39921075,0.33710882,0.56664693,0.5306697,0.9105061,0.9653061,0.9618062,1.1094663,0.9718096,0.9775207,0.779,0.51641417,0.618,0.2792642,0.667,0.617
Bacterial invasion of epithelial cells Homo sapiens hsa05100,0.556882,0.4136944,0.4163041,-0.2279687,0.609006,0.5592776,0.97118247,1.2357441,1.0215974,-0.79948634,1.041915,1.0285243,0.598,0.17889318,0.45,0.83111113,0.232,0.317
Basal cell carcinoma Homo sapiens hsa05217,0.47273883,0.27026033,0.40846074,0.29173127,0.5978094,0.5376223,0.8112549,0.7792415,0.9773411,0.91510624,1.015591,0.9794896,0.929,0.7911803,0.565,0.61702126,0.404,0.596
Basal transcription factors Homo sapiens hsa03022,0.54580957,0.27374735,0.31347024,0.30875582,0.5423606,0.50136364,0.9352661,0.739085,0.7314266,0.9162962,0.9041099,0.8957442,0.68,0.8073879,0.9097292,0.56920415,0.89,0.904
Base excision repair Homo sapiens hsa03410,0.63828206,0.36624715,0.5691092,-0.2095449,0.5398026,0.49109858,1.0895072,0.9601287,1.3148909,-0.621505,0.894753,0.8680428,0.295,0.53867793,0.06218656,0.9723404,0.887,0.927
Bile secretion Homo sapiens hsa04976,0.5705199,0.40612617,0.52588344,-0.24743088,0.6304909,0.55651224,0.97838104,1.1694013,1.2565051,-0.8109664,1.0623653,1.0037361,0.575,0.25733334,0.053,0.77087796,0.185,0.463
Biosynthesis of amino acids Homo sapiens hsa01230,0.5871963,-0.24727984,0.43129843,-0.53089976,0.6790811,0.6241192,1.0137043,-0.8551486,1.0312155,-1.7760179,1.1537086,1.137687,0.467,0.6612245,0.445,0.0023201855,0.01,0.03
Biosynthesis of unsaturated fatty acids Homo sapiens hsa01040,0.42681098,0.42278597,0.41519192,-0.30577102,0.5596288,0.53711915,0.7129652,0.9805861,0.91485584,-0.78093225,0.89352417,0.9110973,0.9238477,0.4976599,0.6368313,0.76458335,0.826,0.757
Bladder cancer Homo sapiens hsa05219,0.6509266,0.43854728,0.48885915,0.37347135,0.6292492,0.6145911,1.1044406,1.1737757,1.1349132,1.050115,1.0438881,1.0867742,0.26,0.26287264,0.25977933,0.39564428,0.285,0.158
Butanoate metabolism Homo sapiens hsa00650,0.40195975,-0.2515807,0.4887247,-0.28746367,0.62704444,0.59292376,0.6765541,-0.711087,1.1103672,-0.7847461,1.0180206,1.0250727,0.967,0.85804415,0.3469388,0.77324265,0.421,0.393
Calcium signaling pathway Homo sapiens hsa04020,0.47680262,0.23065859,0.48219943,0.21093298,0.59895164,0.5589788,0.8470938,0.75518143,1.2093982,0.7974056,1.0459697,1.0499779,0.973,0.8714623,0.019,0.902439,0.14,0.149
Carbohydrate digestion and absorption Homo sapiens hsa04973,0.49090272,0.20725814,0.35720474,-0.30231375,0.672455,0.63936055,0.836615,0.5373071,0.82896113,-0.8956576,1.1119267,1.1298649,0.849,0.9746835,0.80603015,0.58495146,0.098,0.08
Carbon metabolism Homo sapiens hsa01200,0.55903244,-0.23049182,0.3854556,-0.2896957,0.60963476,0.57316136,0.98183703,-0.85032517,0.95361406,-1.0579294,1.0529232,1.0644417,0.577,0.63793105,0.649,0.34866828,0.142,0.115
Cardiac muscle contraction Homo sapiens hsa04260,0.52493376,0.4330961,0.4583712,-0.2787305,0.57278776,0.5327058,0.9092423,1.2797,1.1111268,-0.94905627,0.9798971,0.9751956,0.792,0.12810458,0.242,0.5460674,0.616,0.627
Cell adhesion molecules (CAMs) Homo sapiens hsa04514,0.48818356,0.38052556,0.48361722,0.30348924,0.54189754,0.5243858,0.8535767,1.1843599,1.1861017,1.0753139,0.93879926,0.9759199,0.94,0.1965812,0.067,0.32078853,0.904,0.655
Cell cycle Homo sapiens hsa04110,0.62600267,0.19503878,0.37525907,-0.24756438,0.5791792,0.52989626,1.1007403,0.62221164,0.9347755,-0.95019925,1.0054172,0.9891754,0.133,0.97951806,0.71,0.5724816,0.43,0.571
Central carbon metabolism in cancer Homo sapiens hsa05230,0.5870884,-0.22746691,0.30926284,-0.35531068,0.62841666,0.59063286,1.0152068,-0.77819383,0.7464059,-1.2282794,1.0701773,1.079415,0.457,0.7866667,0.939,0.1610577,0.123,0.111
Chagas disease (American trypanosomiasis) Homo sapiens hsa05142,0.67616117,0.30379215,0.39663872,0.37104073,0.5950873,0.5595374,1.1833317,0.93184215,0.9664351,1.2676462,1.0246102,1.0338638,0.042,0.5819775,0.594,0.0862069,0.337,0.292
Chemical carcinogenesis Homo sapiens hsa05204,0.60327566,0.19672063,0.45867813,-0.28905404,0.5275331,0.46147764,1.0352396,0.5225934,1.0658288,-0.8800034,0.878206,0.8220101,0.41,0.9847645,0.39396986,0.6489607,0.936,0.987
Chemokine signaling pathway Homo sapiens hsa04062,0.5856913,-0.24641897,0.4323281,0.34145772,0.58202404,0.5391616,1.0313331,-0.9475232,1.0736673,1.2525737,1.0159572,1.0118188,0.354,0.5660377,0.269,0.10942761,0.357,0.394
Choline metabolism in cancer Homo sapiens hsa05231,0.54739267,0.3191294,0.4124176,0.29937413,0.54337424,0.50524193,0.9599755,0.9829389,1.0165862,1.0559146,0.9377135,0.93762016,0.68,0.49334946,0.452,0.36790925,0.906,0.895
Cholinergic synapse Homo sapiens hsa04725,0.5261856,0.4102522,0.44534716,0.3157519,0.6186966,0.58329105,0.9227502,1.2788326,1.09648,1.1182462,1.0660748,1.0806285,0.788,0.12544803,0.242,0.24080268,0.099,0.082
Chronic myeloid leukemia Homo sapiens hsa05220,0.59878343,0.39863127,0.40402603,0.331822,0.5863517,0.5432911,1.0371945,1.1953233,0.9808649,1.1051383,1.004259,0.99847484,0.4,0.221519,0.544,0.2820946,0.45,0.484
Circadian entrainment Homo sapiens hsa04713,0.45787504,0.42044705,0.4288842,0.30872464,0.5517415,0.50531447,0.7972898,1.2714007,1.0520203,1.0715786,0.9481087,0.93125534,0.964,0.13530135,0.39,0.34738618,0.827,0.89
Circadian rhythm Homo sapiens hsa04710,0.51157445,-0.34969434,0.4886325,-0.2927384,0.6593331,0.6051275,0.8657381,-1.0678855,1.1239191,-0.82665086,1.0893888,1.0645269,0.789,0.3322034,0.2980866,0.7123288,0.155,0.235
Citrate cycle (TCA cycle) Homo sapiens hsa00020,0.70582265,-0.4166181,0.5554593,0.31150433,0.61301786,0.58649105,1.1948524,-1.2570934,1.2736989,0.8668311,1.0062814,1.0304633,0.12512513,0.15646258,0.09778226,0.6666667,0.456,0.357
Cocaine addiction Homo sapiens hsa05030,0.40252087,-0.3236673,0.369199,-0.3555844,0.53768706,0.5036611,0.69364667,-1.0639999,0.88273346,-1.1572618,0.90133184,0.9052385,0.988,0.33472803,0.744,0.21860465,0.917,0.893
Collecting duct acid secretion Homo sapiens hsa04966,0.6631156,0.31126022,0.49097988,-0.35415503,0.61538666,0.5697111,1.1139492,0.76157236,1.0979251,-0.9431302,0.9890167,0.97571504,0.27327326,0.777939,0.35845214,0.5305677,0.534,0.564
Colorectal cancer Homo sapiens hsa05210,0.5187572,0.45219806,0.23493728,0.2663033,0.5776845,0.5503501,0.90319777,1.3390247,0.56631285,0.8757615,0.98428816,1.0065482,0.785,0.09578544,0.997,0.68324125,0.591,0.437
Complement and coagulation cascades Homo sapiens hsa04610,0.5897481,0.4275974,0.59258217,0.326293,0.5579135,0.51077396,1.0205425,1.2124467,1.4042506,0.9899344,0.936284,0.9151827,0.449,0.21081081,0.012,0.45391303,0.8,0.87
Cysteine and methionine metabolism Homo sapiens hsa00270,0.63848865,-0.25180045,0.22970536,-0.24775127,0.70607567,0.63023025,1.1014299,-0.7839888,0.5321485,-0.7681148,1.1760699,1.123148,0.26,0.77700347,0.986,0.8245614,0.025,0.089
Cytokine-cytokine receptor interaction Homo sapiens hsa04060,0.5810175,0.3429716,0.40838677,0.24158487,0.5811402,0.5480539,1.0274692,1.1185272,1.0253793,0.91102695,1.0143005,1.0293497,0.356,0.28268552,0.406,0.6363636,0.353,0.25
Cytosolic DNA-sensing pathway Homo sapiens hsa04623,0.6318704,-0.2896241,0.38852042,-0.29793596,0.6348994,0.614495,1.0775701,-0.92453736,0.90037245,-0.90813184,1.0597591,1.096855,0.32632634,0.4948097,0.69578314,0.60194176,0.228,0.12
DNA replication Homo sapiens hsa03030,0.6335039,-0.26760885,0.3732289,-0.24777508,0.54849577,0.5312505,1.0809911,-0.83997273,0.86648643,-0.7590726,0.9116938,0.94255304,0.305,0.67017543,0.757515,0.84382284,0.851,0.74
Dilated cardiomyopathy Homo sapiens hsa05414,0.51092106,0.19830781,0.4775749,0.24313936,0.56394666,0.53136444,0.88850075,0.6161562,1.167819,0.84200597,0.96979153,0.9820974,0.845,0.9726708,0.102,0.7667785,0.706,0.607
Dopaminergic synapse Homo sapiens hsa04728,0.4846259,0.34355727,0.421124,0.27272916,0.5823667,0.5378829,0.85255134,1.094557,1.0441307,0.9971364,1.0107855,1.0035946,0.949,0.31719127,0.355,0.43507588,0.393,0.467
Dorso-ventral axis formation Homo sapiens hsa04320,0.5383204,-0.3230163,0.31932142,0.2475565,0.4943109,0.46789178,0.9067777,-0.92325234,0.71723753,0.65737003,0.8025006,0.81025153,0.699,0.5131579,0.8785425,0.91021127,0.978,0.97
Drug metabolism - cytochrome P450 Homo sapiens hsa00982,0.6660333,0.22221544,0.4042923,-0.22394204,0.44344968,0.42652586,1.1332713,0.56857085,0.9145301,-0.63366663,0.7275104,0.7479137,0.223,0.9587482,0.6706827,0.9390519,0.999,1.0
Drug metabolism - other enzymes Homo sapiens hsa00983,0.6952506,0.1964801,0.47937986,0.44730783,0.72665876,0.68014616,1.1715875,0.48127088,1.0787411,1.1640613,1.1751401,1.1738492,0.172,0.9884393,0.3852376,0.25443786,0.055,0.062
ECM-receptor interaction Homo sapiens hsa04512,0.55486685,0.2880151,0.3747209,-0.21112004,0.5154625,0.48844948,0.96414846,0.868142,0.91152686,-0.7476919,0.886329,0.90236974,0.628,0.66337854,0.741,0.91571754,0.979,0.956
Endocrine and other factor-regulated calcium reabsorption Homo sapiens hsa04961,0.5373801,0.4288227,0.5616384,0.32896453,0.6112333,0.56752956,0.9228095,1.1467344,1.3213086,0.9670683,1.0156976,1.0104452,0.699,0.27310926,0.043043043,0.5080501,0.405,0.437
Endocytosis Homo sapiens hsa04144,0.58057654,0.37734136,0.3558757,0.28546995,0.6350873,0.58870906,1.0359427,1.2795985,0.9027933,1.1209335,1.1160399,1.1151674,0.282,0.07469342,0.865,0.20263591,0.0,0.0
Endometrial cancer Homo sapiens hsa05213,0.5137535,-0.2858016,0.3111178,-0.2667591,0.5944519,0.54321796,0.8847436,-0.9574252,0.74443096,-0.9017843,1.0097872,0.98789257,0.835,0.46530613,0.93,0.6315789,0.435,0.524
Epithelial cell signaling in Helicobacter pylori infection Homo sapiens hsa05120,0.6059467,-0.20653488,0.29151675,0.28525287,0.64515644,0.6220835,1.0569464,-0.7036138,0.7069629,0.92960733,1.0992582,1.1384418,0.321,0.8847926,0.96,0.57624114,0.043,0.016
Epstein-Barr virus infection Homo sapiens hsa05169,0.5627598,0.21910748,0.3499914,0.28125504,0.5808868,0.54298025,0.9987087,0.726214,0.8801823,1.0832949,1.0192723,1.0258697,0.515,0.93317974,0.879,0.2840909,0.307,0.273
ErbB signaling pathway Homo sapiens hsa04012,0.5475617,0.34116322,0.3750154,0.33204043,0.6275517,0.57151324,0.9578541,1.0427072,0.91623145,1.1484009,1.082133,1.0598972,0.646,0.41,0.748,0.21273032,0.079,0.159
Estrogen signaling pathway Homo sapiens hsa04915,0.5579624,0.22892074,0.48152113,-0.28149536,0.61217934,0.5726644,0.9763373,0.7041629,1.1803298,-1.0469136,1.0552071,1.0593065,0.589,0.9104116,0.072,0.3802469,0.137,0.125
Ether lipid metabolism Homo sapiens hsa00565,0.45416906,-0.3831154,0.63483495,-0.36235324,0.601878,0.5701348,0.772154,-1.1931854,1.4597028,-1.0639529,0.99706554,1.0095407,0.922,0.20274915,0.005015045,0.36596736,0.486,0.444
Fanconi anemia pathway Homo sapiens hsa03460,0.5568204,0.35602573,0.3051949,0.36817226,0.5621496,0.53739333,0.9645994,1.0072129,0.7263374,1.1533062,0.9467181,0.970268,0.614,0.46122995,0.927,0.24862888,0.769,0.65
Fat digestion and absorption Homo sapiens hsa04975,0.7273321,0.48083827,0.48012865,0.44541433,0.57730615,0.55464625,1.2217093,1.1569684,1.0582999,1.1563008,0.932017,0.9507178,0.118236475,0.29017857,0.40203047,0.2639405,0.738,0.642
Fatty acid degradation Homo sapiens hsa00071,0.5961824,0.24120559,0.38918823,0.3938936,0.5620555,0.51339257,1.0218025,0.67627126,0.92471737,1.2090794,0.9417043,0.92331064,0.466,0.89347535,0.6633267,0.20248668,0.773,0.819
Fatty acid elongation Homo sapiens hsa00062,0.6774187,0.24956259,0.544201,0.30504972,0.67694473,0.6647914,1.1345028,0.59553397,1.2147453,0.7786574,1.0878813,1.1390079,0.26126125,0.9440242,0.18126273,0.77820265,0.215,0.12112112
Fatty acid metabolism Homo sapiens hsa01212,0.57022995,0.20022638,0.46314538,0.32624105,0.5743188,0.54845124,0.98489785,0.5631755,1.107603,1.0325692,0.96806645,0.9915293,0.529,0.9755435,0.2782783,0.38786766,0.668,0.532
