,score,score,score,score,score,score,norm,norm,norm,norm,norm,norm,pval,pval,pval,pval,pval,pval
,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
source,,,,,,,,,,,,,,,,,,
Arginine and proline metabolism Homo sapiens hsa00330,0.527111,-0.19167307,0.23108435,-0.3674416,0.327481,0.25960672,0.9889398,-0.59087867,0.7828772,-1.1108574,0.81884104,0.92867917,0.5255255,0.96902657,0.80020285,0.29310346,0.885,0.5975855
Arginine biosynthesis Homo sapiens hsa00220,0.42053288,0.45040435,0.268072,0.36070845,0.36033556,0.2973869,0.75864357,1.0786406,0.7758461,0.92366916,0.82200223,0.9062803,0.8246687,0.3690909,0.747614,0.56179774,0.82179224,0.60832447
Arrhythmogenic right ventricular cardiomyopathy (ARVC) Homo sapiens hsa05412,0.4858483,-0.22631456,0.30228513,0.18844318,0.37949467,0.28268465,0.92794317,-0.74019855,1.0952827,0.6840566,0.99016553,1.0853175,0.696,0.8551724,0.328,0.94559586,0.513,0.2912913
Asthma Homo sapiens hsa05310,0.5849674,-0.6585188,0.4746702,-0.67734677,0.40790197,0.19838966,1.0002742,-1.3712935,1.1450504,-1.3816237,0.8371678,0.500668,0.5059459,0.123689726,0.29411766,0.11967546,0.7328326,0.99299884
Autoimmune thyroid disease Homo sapiens hsa05320,0.45868245,-0.49173564,0.46357298,-0.6403153,0.48227063,0.33395508,0.83516353,-1.2229489,1.343065,-1.6176107,1.1130933,1.024531,0.756371,0.22198276,0.12982832,0.028735632,0.2880161,0.41114616
Axon guidance Homo sapiens hsa04360,0.48660225,0.3027581,0.24640004,0.285589,0.3276077,0.17459765,0.9419711,1.0814745,0.95403516,1.1513953,0.88979113,0.7146525,0.69,0.29333332,0.592,0.18434343,0.862,0.984
B cell receptor signaling pathway Homo sapiens hsa04662,0.4805468,0.23077029,0.22483285,0.22502242,0.314218,0.23004472,0.9154208,0.72825027,0.813854,0.79105085,0.8215439,0.88148016,0.71,0.8951049,0.7955912,0.79859483,0.922,0.718
Bacterial invasion of epithelial cells Homo sapiens hsa05100,0.4951301,0.30533704,0.39107546,0.1923409,0.3694986,0.24455643,0.9445828,0.9682809,1.4254392,0.6925125,0.9757217,0.95252126,0.647,0.50180507,0.02008032,0.937046,0.574,0.599
Basal cell carcinoma Homo sapiens hsa05217,0.49363273,0.30461502,0.36555403,-0.24041384,0.4420137,0.296958,0.92754394,0.9014781,1.2631841,-0.74770796,1.1209389,1.0815675,0.67,0.5896488,0.17404427,0.85785955,0.191,0.33867735
Basal transcription factors Homo sapiens hsa03022,0.5546944,0.35359475,0.3063885,0.25338894,0.28944737,0.15809764,1.0315623,1.0444226,1.0336328,0.8084965,0.71974754,0.5637711,0.44188377,0.38593155,0.44760936,0.7488152,0.973,0.994985
Base excision repair Homo sapiens hsa03410,0.5298016,-0.46268514,0.16664538,-0.5044075,0.388048,0.34589988,0.9832592,-1.2827843,0.5338244,-1.3816288,0.93589413,1.166666,0.52758276,0.14935064,0.95553255,0.10836502,0.627,0.23289071
Bile secretion Homo sapiens hsa04976,0.49956095,0.18895376,0.34081474,-0.18891883,0.36568993,0.27145836,0.94164026,0.5580409,1.1595398,-0.57461387,0.9249387,0.9698712,0.625,0.98392856,0.2647059,0.9879518,0.679,0.52710843
Biosynthesis of amino acids Homo sapiens hsa01230,0.43613353,0.33519194,0.17542541,0.22660284,0.3416178,0.21980415,0.8240253,1.0232563,0.61131537,0.7870149,0.87875897,0.8203582,0.858,0.4139785,0.9487437,0.8320988,0.812,0.82
Biosynthesis of unsaturated fatty acids Homo sapiens hsa01040,-0.32978106,0.32899106,0.32929665,0.26492283,0.35907927,0.25415266,-1.0550365,0.75820947,0.9323535,0.66205174,0.80619854,0.75746167,0.2857143,0.75868374,0.56578946,0.8773389,0.83588177,0.8374596
Bladder cancer Homo sapiens hsa05219,0.6688597,0.33382294,0.32478705,0.3140018,0.2826392,-0.19922405,1.2516993,0.9292326,1.065243,0.9525924,0.69145536,-0.9088072,0.10943775,0.55813956,0.40657085,0.5272727,0.966,0.6
Butanoate metabolism Homo sapiens hsa00650,-0.2610255,0.5215591,0.43494102,0.63071746,0.55842245,0.40950203,-0.9917142,1.291837,1.33936,1.7243433,1.3005866,1.3043725,0.5,0.176259,0.12736842,0.024630541,0.07214429,0.123061016
Calcium signaling pathway Homo sapiens hsa04020,0.45279765,0.36574692,0.30475163,-0.24142888,0.4469081,0.31447673,0.8816287,1.2790079,1.1681826,-0.9066468,1.2177259,1.2948176,0.85,0.109375,0.186,0.6329527,0.008,0.02
Carbohydrate digestion and absorption Homo sapiens hsa04973,0.53670603,0.30853578,0.30265522,0.22796991,0.36804822,0.29274833,0.99423945,0.8102222,0.9474582,0.6715758,0.8867968,0.96845835,0.51855564,0.72407407,0.56832296,0.9072398,0.7187187,0.5188583
Carbon metabolism Homo sapiens hsa01200,0.4886957,0.44089803,0.28610334,0.36645404,0.3621183,0.25436744,0.9337399,1.4665788,1.0771748,1.4102327,0.9664531,1.0118268,0.682,0.04049296,0.352,0.04534005,0.6,0.464
Cardiac muscle contraction Homo sapiens hsa04260,0.43933234,0.26642624,0.36391482,0.28234598,0.3950885,0.3389737,0.82844895,0.8284194,1.3034344,0.98745203,1.02541,1.2747235,0.851,0.72629696,0.085341364,0.44941175,0.404,0.08316633
Cell adhesion molecules (CAMs) Homo sapiens hsa04514,0.46642473,-0.3319548,0.32285193,-0.36488357,0.45950165,0.37798095,0.8992532,-1.1558795,1.2049212,-1.279647,1.2287539,1.5238862,0.786,0.22535211,0.168,0.114617944,0.015,0.002
Cell cycle Homo sapiens hsa04110,0.5524312,0.327851,0.26803705,0.31652486,0.42635903,0.27927557,1.0692139,1.143382,1.0182528,1.2404135,1.1563935,1.1518888,0.285,0.22525597,0.462,0.103535354,0.067,0.143
Central carbon metabolism in cancer Homo sapiens hsa05230,0.53107107,0.30496183,0.18593302,0.23489816,0.3089648,0.21774939,1.0084863,0.9394353,0.6650305,0.8016704,0.7988925,0.8212427,0.487,0.5355872,0.91767067,0.7893462,0.944,0.835
Chagas disease (American trypanosomiasis) Homo sapiens hsa05142,0.5924607,0.16333325,0.2291439,-0.24879107,0.35977662,0.25138056,1.1388041,0.5309052,0.8422439,-0.8679889,0.95049274,0.9879258,0.158,0.99655175,0.7687688,0.6877133,0.677,0.502
Chemical carcinogenesis Homo sapiens hsa05204,0.5581087,-0.34818327,0.25311014,-0.2598218,0.45788926,0.34243152,1.0439208,-0.9997798,0.83900183,-0.73822826,1.1348544,1.1882527,0.42942944,0.42191142,0.71546394,0.84,0.231,0.19492386
Chemokine signaling pathway Homo sapiens hsa04062,0.55006033,-0.27076885,0.1808371,-0.37908274,0.278272,0.20619722,1.0640597,-0.9772333,0.69523954,-1.4160221,0.7560484,0.84433746,0.306,0.44642857,0.943,0.027419355,0.995,0.853
Choline metabolism in cancer Homo sapiens hsa05231,0.52823335,-0.22971131,0.20382033,-0.32756543,0.30506173,0.22945173,1.0213608,-0.78225684,0.7561045,-1.1495465,0.8063124,0.903809,0.442,0.82733816,0.891,0.23960066,0.969,0.7107107
Cholinergic synapse Homo sapiens hsa04725,0.464352,-0.22495092,0.25368142,-0.24893348,0.35068128,0.26081508,0.8909276,-0.77336395,0.9426145,-0.874134,0.93574166,1.0402076,0.791,0.82045454,0.622,0.6994992,0.719,0.367
Chronic myeloid leukemia Homo sapiens hsa05220,0.6011092,-0.22320138,0.21990997,0.22004722,0.3599635,0.24158375,1.15029,-0.7292103,0.80069715,0.7740246,0.94104564,0.9257747,0.168,0.9025522,0.8016032,0.8613861,0.676,0.639
Circadian entrainment Homo sapiens hsa04713,0.38540915,0.2429989,0.271072,-0.23045722,0.34609076,0.25496083,0.73629355,0.7858072,0.98704493,-0.7810733,0.9073748,0.991536,0.964,0.8173913,0.5265265,0.8336079,0.769,0.505
Circadian rhythm Homo sapiens hsa04710,0.4607784,0.3277036,0.42646438,0.31917477,0.40295985,0.28554657,0.84452456,0.863358,1.340066,0.9308178,0.96576613,0.9382563,0.7560241,0.6502732,0.112033196,0.54756874,0.5430862,0.5711382
Citrate cycle (TCA cycle) Homo sapiens hsa00020,0.591859,0.3304587,0.26849636,0.38200352,0.3961531,0.3254235,1.0968252,0.8957514,0.83944756,1.0933788,0.95056957,1.0771759,0.33667335,0.58666664,0.70606697,0.32938388,0.6182365,0.36724314
Cocaine addiction Homo sapiens hsa05030,0.35262835,0.22228107,0.28994027,0.18490413,0.34717166,0.30098748,0.6582118,0.623921,0.9697113,0.59844875,0.8566043,1.0581354,0.954,0.94159293,0.531218,0.9610984,0.828,0.36820924
Collecting duct acid secretion Homo sapiens hsa04966,0.48807132,-0.28269324,0.42156965,0.27587858,0.3815093,0.28112277,0.8980362,-0.729525,1.3009723,0.7685218,0.90613,0.90367585,0.67168677,0.8217213,0.14644352,0.8047619,0.6924623,0.623323
Colorectal cancer Homo sapiens hsa05210,0.45869768,0.250269,0.16437225,0.28958085,0.3768143,0.24907166,0.8655219,0.789357,0.5845326,0.99807,0.9741114,0.9493995,0.808,0.8091743,0.9559118,0.4554217,0.573,0.6
Complement and coagulation cascades Homo sapiens hsa04610,0.59049827,0.42773286,0.3598449,-0.37433583,0.43674967,0.3206136,1.1047204,1.2032611,1.1998652,-1.0760715,1.0761517,1.1182562,0.30792376,0.22610295,0.24183674,0.3564728,0.322,0.28426397
Cysteine and methionine metabolism Homo sapiens hsa00270,0.48391545,0.293482,0.15151154,0.20008887,0.33461288,0.21494085,0.9155495,0.8313787,0.49955064,0.61638343,0.8355587,0.75652045,0.6656657,0.693662,0.9867347,0.9425,0.8518519,0.8748739
Cytokine-cytokine receptor interaction Homo sapiens hsa04060,0.53061944,-0.2799008,0.27242726,-0.29531565,0.34555295,0.28891212,1.0314447,-1.0180274,1.0503412,-1.1025716,0.94110215,1.1933824,0.389,0.39229023,0.379,0.28391168,0.723,0.08
Cytosolic DNA-sensing pathway Homo sapiens hsa04623,0.66256475,-0.24656738,0.13832341,-0.34909976,0.28607047,0.18469414,1.2393868,-0.7220912,0.46202123,-1.0284823,0.70944685,0.6482969,0.0960961,0.8292683,0.99389005,0.44,0.972,0.95858586
DNA replication Homo sapiens hsa03030,0.5817775,0.27563274,0.14407618,-0.33583927,0.46347955,0.32376432,1.0979851,0.7814318,0.4758822,-0.9854712,1.1476235,1.1347922,0.3053053,0.77256316,0.9837233,0.46045694,0.18436874,0.25609756
Dilated cardiomyopathy Homo sapiens hsa05414,0.4357465,-0.24805117,0.2967412,-0.21381941,0.37132466,0.27387962,0.831772,-0.81878144,1.0796584,-0.7228294,0.97475994,1.05057,0.878,0.73953485,0.35470942,0.8957655,0.57,0.376
Dopaminergic synapse Homo sapiens hsa04728,0.4515656,0.19251303,0.22906747,-0.2505218,0.35806304,0.2632908,0.86940104,0.658802,0.86613184,-0.9103419,0.960236,1.0638345,0.829,0.96896553,0.742,0.6363636,0.649,0.329
Dorso-ventral axis formation Homo sapiens hsa04320,0.36806673,0.51107794,0.38963386,0.42915162,0.35645247,0.15048665,0.67245257,1.2981455,1.1889343,1.1557312,0.83860755,0.4793156,0.919598,0.15145986,0.2374477,0.2792363,0.7981928,1.0
Drug metabolism - cytochrome P450 Homo sapiens hsa00982,0.6584134,-0.41419303,0.2667075,-0.29193527,0.48447067,0.41419017,1.2098854,-1.1046331,0.842966,-0.7767831,1.154122,1.3532716,0.18190955,0.3141487,0.6844864,0.7839286,0.1937751,0.08677686
Drug metabolism - other enzymes Homo sapiens hsa00983,0.65399104,0.34495747,-0.15652259,0.4325946,0.50769126,0.35807765,1.1895635,0.8691901,-0.68817,1.1661971,1.1848755,1.1173831,0.23007064,0.61153847,0.8604651,0.25979382,0.1746988,0.29791668
ECM-receptor interaction Homo sapiens hsa04512,0.4798824,-0.35242227,0.19890565,-0.26634997,0.38502088,0.2600117,0.92060035,-1.1868733,0.73081744,-0.91264564,1.0158288,1.0115488,0.69,0.19861431,0.8917836,0.61025643,0.439,0.452
Endocrine and other factor-regulated calcium reabsorption Homo sapiens hsa04961,0.47239375,0.35589123,0.26679915,0.21559927,0.37651923,0.30736482,0.8711828,0.96809745,0.84953547,0.64016944,0.9154963,1.0415543,0.7424547,0.49280575,0.68990636,0.92448515,0.681,0.4212121
